,mass,feh,radius,Teff,lum,grav,numax,e_Teff,e_lum,e_feh,e_numax,fDnu_1.70,e_fDnu_1.70,fDnu_2.30,e_fDnu_2.30,fDnu_0.25,e_fDnu_0.25,fDnu_0.29,e_fDnu_0.29,fDnu,e_fDnu
0,1.0,-0.4,0.978227558555577,6298.729490245107,1.3568670982725979,1.0450094381575097,3092.4550623061386,151.16950776588257,0.027137341965451957,0.1,61.84910124612277,0.9809854797608737,0.0028282206839788104,0.9858535054749112,0.004835156704420196,0.9857677909475591,0.0038252943918614113,0.9837231167564053,0.0033336723481880437,0.9844255566414964,0.0037858239653874026
1,1.0,-0.4,1.211029721324772,6370.395837381052,2.1758100329168757,0.6818524359466673,2006.3969090596356,152.88950009714526,0.043516200658337514,0.1,40.12793818119271,0.974386713141595,0.00435396137263433,0.9871979685593391,0.005627460468691392,0.9823519364585831,0.008445903696186252,0.975252208938795,0.007876740668130378,0.9804223051749063,0.008585160682945348
2,1.0,-0.4,1.7552239211517313,6036.998948239123,3.6863380120253235,0.32458985496219334,981.1469428012372,144.88797475773896,0.07372676024050648,0.1,19.622938856024742,0.9985628564085282,0.006952413928894341,1.0059383471362595,0.003303657879447308,1.0062180641056147,0.002457804475264558,1.0023682967450476,0.005821187399116801,1.0050336348768678,0.0061375138981975
3,1.0,-0.4,2.563636692938826,5172.347315081153,4.237496681239178,0.15215528508976878,496.8815438291922,124.13633556194767,0.08474993362478356,0.1,9.937630876583844,0.9996132072733589,0.0032319164651808396,0.9884099380386101,0.0013351617991760323,0.9975498406613965,0.01071398931280021,1.0063420950795552,0.011508466896639313,0.9983178241134407,0.011312488528022246
4,1.0,-0.4,4.066454942241479,4987.439678237623,9.216971590989344,0.060473913021294956,201.11242656825445,119.69855227770296,0.18433943181978688,0.1,4.022248531365089,0.9748912771232059,0.0008163832490959977,0.9716500944947576,0.0007758229044606546,0.9731577381366289,0.001700048425362144,0.9743421209076221,0.0021666600737187958,0.9739413749280964,0.002155000238008409
5,1.0,-0.4,5.7843323464134535,4876.172320780409,17.03995137670962,0.029887770798598612,100.52258884306968,117.02813569872981,0.3407990275341924,0.1,2.0104517768613936,0.9672174212814061,0.0015885790976037373,0.959995510080488,0.0015716242225237154,0.9624361255898058,0.003594442677152976,0.9656052670105314,0.0036193728876510733,0.9651989352289652,0.004294366908101976
6,1.0,0.0,0.9982102981664641,5831.90285190108,1.038319262962353,1.0035890357463317,3086.4584207538423,139.9656684456259,0.02076638525924706,0.1,61.72916841507685,1.0009481898260468,0.0017316246185313244,1.0002468152230886,0.0012279827316358793,1.0010030106225065,0.0018385656467483358,0.999576237979616,0.001430110659840833,1.0002919213735542,0.001598028501448967
7,1.0,0.0,1.2364934911485832,5863.354806950925,1.6278488083087688,0.6540581035858959,2006.101517173707,140.7205153668222,0.03255697616617537,0.1,40.12203034347414,1.0063676878590873,0.00228821586087824,1.0056428870296528,0.001358855235698564,1.0063046095312487,0.0019400064686224683,1.004559092703758,0.0014983563257585653,1.0058714249944911,0.0017779237968444939
8,1.0,0.0,1.7940383270572555,5384.102601193813,2.436477688661735,0.3106966468568064,994.46514409338,129.21846242865152,0.04872955377323471,0.1,19.8893028818676,1.0193483605282057,0.0025866020586998717,1.0097447393533816,0.001235177370991658,1.0109586431211417,0.006121255808056114,1.015318654294146,0.005390915641608651,1.0134133202851556,0.00570234838565431
9,1.0,0.0,2.5939624875367624,4874.203674886148,3.421273309294281,0.14861841232458975,499.954456870359,116.98088819726756,0.06842546618588562,0.1,9.99908913740718,0.9904352569036937,0.0009994939411374637,0.9860252747017678,0.0015743061793921376,0.989063012819457,0.003528037341512802,0.9897857606955771,0.0024845598600807817,0.989446655626532,0.0029459870808293265
10,1.0,0.0,4.18494568762336,4757.064048749331,8.079441539324764,0.05709792789808483,194.42876235438354,114.16953716998395,0.16158883078649527,0.1,3.8885752470876707,0.975697097147457,0.000895835345604834,0.97162475009031,0.0009736276942117761,0.9745955182582654,0.0018551686630970399,0.9754925469061391,0.0012487579424900752,0.974935435908111,0.001950368838576022
11,1.0,0.0,5.911874391133313,4650.30833976986,14.723907864472547,0.028612091408227756,98.54132376287687,111.60740015447665,0.294478157289451,0.1,1.9708264752575375,0.9652574135861549,0.0016325498097621849,0.9590008378495725,0.0011395607648646555,0.9618286593868733,0.002651562227443005,0.9649675754756837,0.002596745401583722,0.9635415102474331,0.0034185588407562584
12,1.0,0.4,1.0159024899120555,5416.000416288344,0.7999530551369707,0.9689379152350435,3092.1906964427735,129.98400999092027,0.015999061102739413,0.1,61.843813928855475,1.0069774835763463,0.0013324110269868905,1.0041982763346637,0.000930347557989486,1.0065353906705259,0.0020236953106109734,1.0052717118882426,0.0017273857350762478,1.0058302462605666,0.00182255065126391
13,1.0,0.4,1.2605911847094857,5420.588316459923,1.2358903064852573,0.6292909244072552,2007.4184864623435,130.09411959503814,0.024717806129705148,0.1,40.14836972924687,1.0127227399138017,0.0014313422049149205,1.0095415937858314,0.001034339678834706,1.012351954812242,0.0023544144509293208,1.0112226179182973,0.0014762316243455142,1.0115735193341104,0.0023544688443550843
14,1.0,0.4,1.8177233879287047,4886.927187931867,1.6976367157999113,0.30265260037851777,1016.8014075016804,117.2862525103648,0.033952734315998226,0.1,20.33602815003361,1.013484007708447,0.0030493086234344435,1.0035829207430593,0.0015825300466034697,1.0070521468851605,0.0067700838018490694,1.0061488344034926,0.004745195608342523,1.0067447430049097,0.006772305381749333
15,1.0,0.4,2.5949410890890467,4647.292123163411,2.8294406690725,0.1485063398109937,511.628432362104,111.53501095592186,0.05658881338145,0.1,10.23256864724208,0.9911812338569572,0.002061813941887647,0.9857436588605926,0.0011440440353090442,0.9861297722277007,0.002395746938996579,0.9886892741173807,0.002816564031061952,0.9880526318879124,0.003766891286389684
