index, star_mass, Xinit, Yinit, Zinit, amlt, fov_shell, fov0_shell, fov_core, fov0_core
7207, 0.94360, 0.70322529, 0.25343201, 0.04334270, 1.601422, 0.006041, 0.003020, 0.000000, 0.000000
7208, 1.04360, 0.77594127, 0.22218201, 0.00187672, 2.038922, 0.006041, 0.003020, 0.000000, 0.000000
7209, 1.84360, 0.71805176, 0.27218201, 0.00976624, 1.338922, 0.006041, 0.003020, 0.014114, 0.007057
7210, 2.24360, 0.74852483, 0.24718201, 0.00429317, 1.688922, 0.006041, 0.003020, 0.016118, 0.008059
7211, 1.44360, 0.68085820, 0.29718201, 0.02195979, 2.388922, 0.006041, 0.003020, 0.005606, 0.002803
7212, 1.24360, 0.75861769, 0.23468201, 0.00670030, 1.513922, 0.006041, 0.003020, 0.000770, 0.000385
7213, 2.04360, 0.68147109, 0.28468201, 0.03384690, 2.213922, 0.006041, 0.003020, 0.015577, 0.007788
7214, 1.64360, 0.73757089, 0.25968201, 0.00274711, 2.563922, 0.006041, 0.003020, 0.010806, 0.005403
7215, 0.84360, 0.67615619, 0.30968201, 0.01416180, 1.863922, 0.006041, 0.003020, 0.000000, 0.000000
7216, 0.89360, 0.69057777, 0.30655701, 0.00286523, 1.382672, 0.006041, 0.003020, 0.000000, 0.000000
7217, 1.69360, 0.72649268, 0.25655701, 0.01695031, 2.082672, 0.006041, 0.003020, 0.011846, 0.005923
7218, 2.09360, 0.71144318, 0.28155701, 0.00699982, 2.432672, 0.006041, 0.003020, 0.015768, 0.007884
7219, 1.29360, 0.72815547, 0.23155701, 0.04028753, 1.732672, 0.006041, 0.003020, 0.001803, 0.000901
7220, 1.49360, 0.67661993, 0.31905701, 0.00432306, 2.257672, 0.006041, 0.003020, 0.006987, 0.003494
7221, 2.29360, 0.70559171, 0.26905701, 0.02535128, 1.557672, 0.006041, 0.003020, 0.016185, 0.008093
7222, 1.89360, 0.70404608, 0.29405701, 0.00189691, 1.907672, 0.006041, 0.003020, 0.014615, 0.007307
7223, 1.09360, 0.74466051, 0.24405701, 0.01128249, 2.607672, 0.006041, 0.003020, 0.000000, 0.000000
7224, 0.99360, 0.72830083, 0.26280701, 0.00889216, 1.820172, 0.006041, 0.003020, 0.000000, 0.000000
7225, 1.79360, 0.64304244, 0.31280701, 0.04415055, 2.520172, 0.006041, 0.003020, 0.013495, 0.006747
7226, 2.19360, 0.75828880, 0.23780701, 0.00390419, 2.170172, 0.006041, 0.003020, 0.016031, 0.008015
7227, 1.39360, 0.69215295, 0.28780701, 0.02004004, 1.470172, 0.006041, 0.003020, 0.004251, 0.002126
7228, 1.19360, 0.74719478, 0.25030701, 0.00249822, 2.695172, 0.006041, 0.003020, 0.000000, 0.000000
7229, 1.99360, 0.68678037, 0.30030701, 0.01291262, 1.995172, 0.006041, 0.003020, 0.015330, 0.007665
7230, 1.59360, 0.76859908, 0.22530701, 0.00609391, 1.645172, 0.006041, 0.003020, 0.009630, 0.004815
7231, 0.79360, 0.69376110, 0.27530701, 0.03093189, 2.345172, 0.006041, 0.003020, 0.000000, 0.000000
7232, 0.76860, 0.76470590, 0.23311951, 0.00217460, 1.710797, 0.006041, 0.003020, 0.000000, 0.000000
7233, 1.56860, 0.70559707, 0.28311951, 0.01128342, 2.410797, 0.006041, 0.003020, 0.008999, 0.004500
7234, 1.96860, 0.73691115, 0.25811951, 0.00496934, 2.060797, 0.006041, 0.003020, 0.015182, 0.007591
7235, 1.16860, 0.66660203, 0.30811951, 0.02527846, 1.360797, 0.006041, 0.003020, 0.000000, 0.000000
7236, 1.36860, 0.77137023, 0.22061951, 0.00801026, 2.585797, 0.006041, 0.003020, 0.003599, 0.001800
7237, 2.16860, 0.68913753, 0.27061951, 0.04024296, 1.885797, 0.006041, 0.003020, 0.015977, 0.007989
7238, 1.76860, 0.75109140, 0.24561951, 0.00328910, 1.535797, 0.006041, 0.003020, 0.013136, 0.006568
7239, 0.96860, 0.68745169, 0.29561951, 0.01692880, 2.235797, 0.006041, 0.003020, 0.000000, 0.000000
7240, 1.06860, 0.71922211, 0.27686951, 0.00390838, 1.448297, 0.006041, 0.003020, 0.000000, 0.000000
7241, 1.86860, 0.75020524, 0.22686951, 0.02292525, 2.148297, 0.006041, 0.003020, 0.014378, 0.007189
